L,order,contrast,L2-u1-T,L2-u1-T-rel,dy-L2-u1-T,L-infty-L2-error-u,L-infty-L2-error-ut,L2-L2-error-u_t,bestapprox-L2-u1-T,bestapprox-L2-u1-T-rel,bestapprox-dy-L2-u1-T,bestapprox-L-infty-L2-error-u,bestapprox-L-infty-L2-error-ut,bestapprox-L2-L2-error-u_t
1,2,1.0,0.02445710496456796,0.0489142099291359,0.13732454275885356,0.04412583060114918,1.7342581877584775,0.5133849185690553,0.01083892134825461,0.02167784269650921,8.26798678791237e-15,0.03169043154460206,1.8943905750387544,0.48204570822836035
2,2,1.0,0.004460677791888734,0.008921355583777458,0.028986562672624436,0.008499258719356214,0.45230384841070864,0.13626464542253477,0.0030570186466289985,0.00611403729325799,1.5667430188408594e-14,0.005107118228008051,0.4844628862500877,0.12751704711890033
3,2,1.0,0.0007016971933789307,0.0014033943867578587,0.009951071077666759,0.0016225985731422783,0.11319025674253594,0.03454703527516829,0.000506989199505645,0.001013978399011288,3.7115012167172815e-14,0.0006899625383270468,0.12407271889316256,0.03213874410149468
4,2,1.0,0.00010672539680917565,0.0002134507936183494,0.0035569615459807758,0.00021150944815605824,0.026211463687818105,0.008068622328197422,7.045923050368576e-05,0.00014091846100737027,6.537878787985474e-14,8.770729019219318e-05,0.02984917248945176,0.008043583699304434
1,2,1.5,0.08506441284667238,0.3110025482534003,0.5476291987928398,0.1354186921660776,5.364117283248375,1.731669468995799,0.011600771202372623,0.04241338163522848,8.495039982303341e-15,0.09411730782094231,5.312944896737834,1.5279166138492943
2,2,1.5,0.02390727403701816,0.08682530920621313,0.17752900893997567,0.034856981936392716,1.2426945207023157,0.5241704979653349,0.0084520230340395,0.030695658242433598,1.1971370296341581e-14,0.015950427303660353,1.398833099209049,0.4374468822788047
3,2,1.5,0.0057330350642300085,0.020821522873769663,0.05184152991476493,0.009047693538255724,0.4300347858246088,0.14064365813274446,0.001457310228479099,0.00529273202003892,2.1177932156246645e-14,0.002247714895555705,0.4659755423986048,0.11184875682296384
4,2,1.5,0.0008767274053966208,0.003184143250791734,0.014877224524373997,0.0012781970990715739,0.09473632461719447,0.0303986712052246,0.0002020591753279001,0.0007338488057069655,4.360799142129479e-14,0.00029290566523370155,0.11060261046019149,0.02811442974793993
1,2,2.0,0.08080818955104228,207370516396085.44,0.7514614713941821,0.26710461663803264,11.818052736614481,4.026318297418359,0.01498329522580093,38450232402827.84,3.3525126317637467e-15,0.22637822332790722,13.002747312708,3.5720341252149725
2,2,2.0,0.02722902526819125,69875306725691.24,0.3480510268833612,0.06037841448751194,3.2852623820077627,1.1854211271353516,0.02255379945911178,57877710990858.805,6.611246722410336e-15,0.03170923078410771,3.789096386605814,1.0172666783193078
3,2,2.0,0.008065123847637629,20696774749873.457,0.1083266683519212,0.020614949345940967,0.9852942433850354,0.3565391117848515,0.0037321384370287473,9577438614182.5,8.819186067107803e-15,0.005064070681846817,1.072149622602314,0.2639778603295451
4,2,2.0,0.0019353584926256667,4966529905658.084,0.03366077006241937,0.004884149443300359,0.25585394632053693,0.0870627204672683,0.0004975240075315517,1276749435106.4597,8.925704880602295e-15,0.0006030734431398831,0.2941410919121564,0.06656252612351969
1,2,2.5,0.2064905363985893,0.7216575845527075,1.5431011974658975,0.5641159978324699,21.238983838721122,7.896422662518921,0.060786716406285156,0.21244167262936062,8.391588252704486e-15,0.39365900712540497,24.232904927750557,6.66762530586017
2,2,2.5,0.07251471382871454,0.2715733931419504,0.6995981749057485,0.17392362353771054,7.096441902902695,2.9800788911998173,0.04996416574696679,0.1871197900533881,1.8773956423016083e-14,0.05008111521230975,6.5027310456082565,1.936523559066787
3,2,2.5,0.03623922641887741,0.1353673630723004,0.29695436707980666,0.05902993762420908,2.478550016894886,1.0898055990683577,0.007941930836603394,0.029666147467584187,3.6580964126055085e-14,0.0083059550839925,2.19389860081802,0.5120527126357695
4,2,2.5,0.008357069980907886,0.031216701008927632,0.08869004254402274,0.012741951751439126,0.5295940252008078,0.2443092631975151,0.001020252484033503,0.003811014724113823,6.254805809793186e-14,0.0012850664435631292,0.5721608371763842,0.12982348541633215
